#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
40,N1 Mic,Lacaille 8760,,,,AX,825,66,5117,105090,,CD-39 14192,202560,,21 17 15.3,-38 52 02.5,0.25343,0.00112,3.946,3.455,250.6,-0.279,-1.14699,9.21,8.09,6.67,5.77,4.91,4.046,3.256,3.1,8.69,23,M0.0 V,,2117-3852
41,N1 Cep,,,,,,860 A,3814,5438,110893,232-075,BD+56 2783,239960,,22 27 59.5,+57 41 45.2,0.24806,0.00139,4.031,0.99,241.6,-0.1086,-0.4711,,11.24,9.79,8.41,6.93,,,,11.76,,M3.0 V,C component in YPC?; additional components in Y,2227+5741 A
42,N1 Cep B,,,,,DO,860 B,3815,,,,,,,22 27 59.5,+57 41 45.2,0.24806,0.00139,4.031,0.99,241.6,-0.1086,-0.4711,,,11.41,,,,,,13.38,,M4.0 V,,2227+5741 B
43,N1 Ant,2MASS J10481463-3956062,,,,,,,,,,,,,10 48 14.6,-39 56 06.2,0.24771,0.00155,4.037,1.53,229.2,,,,,17.39,,12.67,9.538,8.905,8.447,19.36,-10.1,M8.5 V,Brown dwarf,1048-3956
44,N1 Mon,,,,,V577,234 A,1849,1509,30920,106-049,,,,06 29 23.8,-02 48 50.3,0.24434,0.00201,4.093,0.93,131.7,0.0464,-0.61862,14.03,12.8,11.08,9.77,8.06,,,,13.02,,M4.5 VJ,,0629-0248 A
45,N1 Mon B,,,,,,234 B,1850,,,,,,,06 29 23.8,-02 48 50.3,0.24434,0.00201,4.093,0.93,131.7,0.0464,-0.61862,,,14.23 *,,,,,,16.17,,,,0629-0248 B
46,N2 Oph,Wolf 1061,,,,V2306,628,419,3746,80824,153-058,BD-12 4523,,,16 30 18.1,-12 39 45.4,0.23601,0.00167,4.237,1.189,184.5,-0.0064,-1.1849,12.78,11.66,10.08,8.91,7.4,5.95,5.373,5.075,11.94,-13,M3.0 V,"CNS91 ""SB"" not confirmed/refuted",1630-1239
47,N1 Psc,van Maanen's Star,,,,,35,7,160,3829,001-027,,,,00 49 09.9,+05 23 19.0,0.23188,0.00179,4.313,2.978,155.5,0.0826,-2.71056,,12.94,12.4,12.14,11.91,11.69,11.57,11.5,14.23,263,DZ7,,0049+0523
48,N1 Scl,,,,,,1,1,5817,439,267-025,CD-37 15492,225213,,00 05 24.4,-37 21 26.5,0.2292,0.00107,4.363,6.1,112.5,0.4725,-2.33794,,10.03,8.55,7.58,6.42,,,,10.35,23.6,M3.0 V,,0005-3721
49,N2 Vir,Wolf 424,,,,,473 A,333,2890,,012-043,,,,12 33 17.2,+09 01 15.0,0.2279,0.0046,4.388,1.811,277.4,,,15.58,14.3,13.18,10.9,8.92,,,,14.97,,M5.5 VJ,,1233+0901 A
50,N2 Vir B,,,,,,473 B,,,,,,,,12 33 17.2,+09 01 15.0,0.2279,0.0046,4.388,1.811,277.4,,,,,13.17,,,,,,14.96,,,,1233+0901 B
51,N2 Ari,,,,,TZ,83.1,11,412.02,,003-033,,,,02 00 13.2,+13 03 08.0,0.2248,0.0029,4.448,2.097,147.8,,,15.47,14.12,12.29,10.92,9.17,7.514,6.97,6.648,14.05,,M4.5 V,,0200+1303
52,N2 Dra,,,,,,687,450,4029,86162,258-011,BD+68 946,,,17 36 25.9,+68 20 20.9,0.22049,0.00082,4.535,1.309,194.2,-0.0579,-1.26955,11.76,10.72,9.22,8.13,6.72,5.34,4.77,4.55,10.94,-23.2,M3.0 V,"speckle companion? in YPC; CNS91 ""SB?"" not confirmed/refuted",1736+6820
53,N1 Sex,,,,,,3622,292,,,,,,,10 48 12.6,-11 20 14.0,0.2203,0.0036,4.539,1.644,158.5,,,,17.7,15.6,13.54,11.2,8.857,8.26,7.93,17.32,,M6.5 V,,1048-1120
54,N1 Ara,,,,,,674,449,3958,85523,,CD-46 11540,,,17 28 40.0,-46 53 42.7,0.22025,0.00159,4.54,1.05,146.9,0.0559,-0.87984,,10.91,9.38,8.31,6.98,5.711,5.154,4.855,11.09,-3.5,M3.0 V,,1728-4653
55,N2 Cyg,,,,,V1581,1245 A,3494,4706.01,,208-044,,,,19 53 54.2,+44 24 55.0,0.2202,0.001,4.541,0.731,143.1,,,,,13.46 *,11.81 J,9.78 J,,,,15.17,,M5.5 VJ,astrometric perturbation in Har84,1953+4424 A
56,N2 Cyg B,,,,,,1245 B,3495,,,208-045,,,,19 53 55.2,+44 24 56.0,0.2202,0.001,4.541,0.731,143.1,,,,,14.01,12.36,10.27,,,,15.72,,M6.0 V,,1953+4424 B
57,N2 Cyg C,,,,,,1245 C,,,,,,,,19 53 54.2,+44 24 55.0,0.2202,0.001,4.541,0.731,143.1,,,,,16.75 *,,,,,,18.46,,,interferometric companion in McC88,1953+4424 C
58,N1 Mus,,,,,,440,43,2716,57367,,,,,11 45 42.9,-64 50 29.4,0.21657,0.00201,4.617,2.688,97.4,0.4179,-0.34683,10.99,11.68,11.5,,,11.188,11.13,11.104,13.18,,DQ6,,1145-6450
59,N4 Cet,,,,,,1002,2,9.01,,158-027,,,,00 06 43.8,-07 32 22.0,0.213,0.0036,4.695,2.041,203.6,,,17.61,15.75,13.76,12.16,10.16,8.32,7.792,7.439,15.4,,M5.5 V,,0006-0732
60,N2 Aqr,,,,,IL,876,530,5546,113020,156-057,BD-15 6290,,,22 53 16.7,-14 15 49.3,0.21259,0.00196,4.704,1.174,125.1,0.0661,-0.67564,,11.76,10.18,9,7.43,5.934,5.35,5.01,11.82,8.7,M3.5 V J,,2253-1415
61,N1 Car,,,,,,3618,288,2511.01,,,,,,10 44 21.2,-61 12 35.4,0.20895,0.00273,4.786,1.643,347.7,,,,15.74,13.9,12.33,10.31,8.492,8.054,7.728,15.5,,M5.5 V,,1044-6111
62,N2 UMa,,,,,,412 A,38,2582.00 A,54211,176-011,BD+44 2051,,,11 05 28.6,+43 31 36.3,0.20602,0.00108,4.854,4.511,282.1,-0.4055,0.94332,11.48,10.3,8.76,7.76,6.74,,,,10.33,,M1.0 V,,1105+4331 A
63,N2 UMa B,,,,,WX,412 B,39,2582.00 B,,176-012,,,,11 05 31.3,+43 31 17.1,0.20602,0.00108,4.854,4.511,281.9,-0.4055,0.94332,,16.39,14.48,12.73,10.63,,,,16.05,,M5.5 V,,1105+4331 B
64,N3 UMa,Groombridge 1618,,,,,380,280,2390,49908,196-009,BD+50 1725,88230,,10 11 22.1,+49 27 15.3,0.20581,0.00067,4.859,1.452,249.7,-0.1396,-0.505,9.25,7.97,6.59,5.74,4.97,3.894,3.298,2.962,8.16,-26.1,K7.0 V,,1011+4927
65,N2 Leo,Gam Leo C,,,,AD,388,5167,2420,,054-023,BD+20 2465,,,10 19 36.4,+19 52 10.0,0.2046,0.0028,4.888,0.506,264,,,11.91,10.85,9.32,8.23,6.81,5.45,4.843,4.593,10.87,10.8,M3.0 V,astrometric companion? in CNS69 unlikely,1019+1952
66,N1 Gru,,,,,,832,3685,5190,106440,,CD-49 13515,204961,,21 33 34.0,-49 00 32.5,0.20278,0.00132,4.931,0.819,183.2,-0.0047,-0.81801,,10.18,8.66,7.66,6.48,5.349,4.766,4.501,10.2,18,M3.0 V,,2133-4900
67,N1 Her,,,,,,,,,85605,,,,,17 29 36.3,+24 39 14.7,0.20269,0.03948,4.934,0.362,15.6,0.0071,0.34892,,12.49,11.1,,,,,,12.63,,,Hipparcos has large parallax error,1729+2439
68,N1 For,LP 944-20,,,,,,,,,,,,,03 39 35.2,-35 25 44.1,0.2014,0.0042,4.965,,,,,,20.17,18.5,,13.29,10.725,10.017,9.548,20.02,,M9.0 V,Brown Dwarf,0339-3525
69,N2 Eri,2MASS J02550357-4700509,,,,,,,,,,,,,02 55 03.6,-47 00 51.0,0.20137,0.00389,4.966,1.149,119.5,,,,,22.92,20.06,17.23,13.246,12.204,11.558,24.44,,L7.5 V,Brown Dwarf,0255-4700
70,N1 Sco,,,,,,682,451,3992,86214,,CD-44 11909,,,17 37 03.7,-44 19 09.2,0.19965,0.0023,5.009,1.176,217.1,-0.0662,-0.93799,,12.6,10.95,9.71,8.12,6.544,5.917,5.606,12.45,-60,M4.5 V,,1737-4419
71,N3 Eri,Keid,Omi2,40,197 G.,,166 A,23,945,19849,,BD-07 780,26965,1325,04 15 16.3,-07 39 10.3,0.199,0.00077,5.025,4.088,213.2,-0.1506,-3.41986,,5.25,4.43,3.97,3.55,,,,5.92,,K1 Ve,,0415-0739 A
72,N3 Eri B,,,,,,166 B,24,,,160-060,BD-07 781,26976,,04 15 22.0,-07 39 35,0.199,0.00077,5.025,4.073,212.4,-0.1506,-3.41986,,,9.52,,,,,,11.01,,DA4,,0415-0739 B
73,N3 Eri C,,,,,DY,166 C,25,,,,,,,04 15 22.0,-07 39 35,0.199,0.00077,5.025,4.073,212.4,-0.1506,-3.41986,13.85,12.82,11.19,9.95,8.32,,,,12.68,,M4.5 V,,0415-0739 C
74,N1 Lac,,,,,EV,873,3853,5520,112460,216-016,BD+43 4305,,,22 46 49.7,+44 20 02.4,0.19804,0.00161,5.049,0.841,236.9,-0.0657,-0.45939,,11.83,10.22,9.05,7.55,6.11,5.554,5.299,11.7,-1.5,M3.5 V,,2246+4420
75,N3 Oph,,,70,197 G.,,702 A,458,4137.00 A,88601,,BD+02 3482,165341,6752,18 05 27.3,+02 30 00.4,0.19596,0.00087,5.103,0.971,172.6,0.0083,-0.96266,,4.88 J,4.2,3.51 J,3.06 J,,,,5.66,,K0 Ve,"CNS91 ""SB"" is the AB orbit",1805+0230 A
76,N3 Oph B,,,,,,702 B,459,4137.00 B,,,,,,18 05 27.3,+02 30 00.4,0.19596,0.00087,5.103,0.971,172.6,0.0083,-0.96266,,,6.05,,,,,,7.51,,K5 Ve,"CNS91 ""SB"" is the AB orbit",1805+0230 B
77,N1 Aql,Altair,Alp,53,86 G.,,768,3490,4665,97649,,BD+08 4236,187642,7557,19 50 47.0,+08 52 06.0,0.19497,0.00086,5.129,0.661,54.3,0.0362,0.38554,,0.99,0.77,0.64,0.5,0.313,0.102,0.102,2.22,-26.1,A7 IV-V,,1950+0852
78,N2 Cnc,,,,,EI,1116 A,2076,2144.03,,009-038,,,,08 58 14.9,+19 45 43.0,0.1912,0.0025,5.23,0.874,267.7,,,,15.52,14.06,11.95,9.83,,,,15.47,,M5.5 VJ,,0858+1945 A
79,N2 Cnc B,,,,,,1116 B,2077,,,,,,,08 58 14.9,+19 45 43.0,0.1912,0.0025,5.23,0.874,267.7,,,,,14.92,,,,,,16.33,,,,0858+1945 B
80,N1 Ori,,,,,,3379,,1383.02,,099-049,,,,06 00 03.5,+02 42 23.7,0.19093,0.00189,5.238,0.313,97.5,,,,13.01,11.31,10.5,9.7,6.91,6.31,6.04,12.71,30,M3.5 V,,0600+0242
81,N4 Eri,,,,,,3323,1723,,,,,,,05 01 57.4,-06 56 45.9,0.18792,0.00126,5.321,0.769,226.9,,,,13.92,12.22,,,7.617,7.065,6.736,13.59,42,M4.5 V,,0501-0656
82,N1 Cam,,,,,,445,2459,2722,57544,254-029,,,,11 47 41.4,+78 41 28.2,0.18584,0.00139,5.381,0.885,57.1,0.2526,0.4804,,12.4,10.82,9.7,8.18,6.724,6.217,5.954,12.17,-119,M3.5 V,,1147+7841
83,N1 Boo,Wolf 498,,,,,526,47,3135,67155,150-035,BD+15 2620,119850,,13 45 43.8,+14 53 29.5,0.18421,0.00116,5.429,2.298,129.3,0.1227,-1.45552,11.01,9.9,8.47,7.51,6.43,5.18,4.78,4.41,9.8,15.3,M1.5 V,,1345+1453
84,N1 Cap,,,,,,,,,103039,,,,,20 52 33.0,-16 58 29.0,0.18215,0.00368,5.49,0.308,275.7,-0.0214,0.03078,,,11.41,,,7.09,6.517,6.199,12.71,,m,,2052-1658
85,N2 Cam,,,,,,169.1 A,26,986.01 A,21088,175-034,,,,04 31 11.5,+58 58 37.5,0.18063,0.00078,5.536,2.427,147.6,0.1682,-2.04899,13.85,12.71,11.04,9.86,8.26,,,,12.32,,M4.0 V,,0431+5858 A
86,N2 Cam B,,,,,,169.1 B,27,986.01 B,,,,,,04 31 11.5,+58 58 37.5,0.18063,0.00078,5.536,2.427,147.6,0.1682,-2.04899,,,12.44,,,,,,13.72,,DC5,,0431+5858 B
87,N1 Gem,Wolf 294,,,,,251,1879,1609,33226,103-068,,265866,,06 54 49.0,+33 16 05.4,0.17958,0.00161,5.569,0.831,241.3,-0.0582,-0.39931,12.76,11.56,10.01,8.92,7.51,6.104,5.526,5.275,11.28,36,M3.0 V,,0654+3316
88,N1 Lyr,2MASS J18353790+3259545,,,,,,,,,,,,,18 35 37.9,+32 59 54.6,0.1765,0.0005,5.666,0.759,186.1,,,,20,18.27,17.1,12.9,10.27,9.617,9.171,19.5,-10,M8.5 V,Reid et al. 2003,1835+3259
89,N2 Ori,Wolf 1453,,,,,205,30,1255,25878,099-015,BD-03 1123,36395,,05 31 27.4,-03 40 38.0,0.17517,0.00105,5.709,2.228,160,0.051,-2.09289,10.63,9.42,7.95,6.98,5.88,,,,9.17,10.6,M1.5 V,,0531-0340
90,N5 Eri,2MASS J04151954-0935066,,,,,,,,,,,,,04 15 19.5,-09 35 06.7,0.17434,0.00276,5.736,2.255,76.5,,,,,,,,15.7,15.537,15.429,,,T8.5 V,Vrba et al. 2004,0415-0935
91,N3 Dra,Alsafi,Sig,61,,,764,477,4607,96100,,BD+69 1053,185144,7462,19 32 21.6,+69 39 40.2,0.17359,0.00041,5.761,1.839,161,0.1148,-1.73881,,5.47,4.68,4.2,3.8,3.42,3.04,2.9,5.88,26.7,K0,,1932+6939
92,N1 Lep,,,,,,229 A,1827,1430,29295,,BD-21 1377,42581,,06 10 34.6,-21 51 52.8,0.17317,0.0011,5.775,0.727,190.9,-0.0098,-0.71406,10.81,9.62,8.12,7.16,6.11,,,,9.31,,M1.0 V,,0610-2151 A
93,N1 Lep B,,,,,,229 B,,,,,,,,06 10 34.6,-21 51 52.8,0.17317,0.0011,5.775,0.727,190.9,-0.0098,-0.71406,,,,,,,,,,,T6.0 V,,0610-2151 B
94,N2 Pav,,,,,,693,454,4040,86990,,,,,17 46 34.2,-57 19 08.5,0.17169,0.00214,5.824,1.756,219.6,-0.1383,-1.35252,,12.43,10.76,9.6,8.18,6.855,6.297,6.016,11.93,,M4.0 V,,1746-5719
95,N2 Aql,,,,,V1428,752 A,473,4494,94761,022-022,BD+04 4048,180617,,19 16 55.3,+05 10 08.0,0.17101,0.00062,5.848,1.452,203.5,-0.0387,-1.3317,,10.61,9.1,8.07,6.78,,,,10.27,,M2 III,,1916+0510 A
96,N2 Aql B,,,,,V1298,752 B,474,,,,,,,19 16 57.6,+05 09 02.2,0.17101,0.00062,5.848,1.461,203.1,-0.0387,-1.3317,,19.42,17.5,15.1,12.84,,,,18.67,,M8.0 V,,1916+0510 B
97,N3 Ori,,,,,V1352,213,31,1305,26857,102-022,,,,05 42 09.3,+12 29 21.7,0.17037,0.00309,5.87,2.542,128.2,0.1365,-1.57064,,13.19,11.57,10.34,8.74,7.12,6.63,6.39,12.73,103,M4.0 V,,0542+1229
98,N1 Lib,,,,33 G.,KX,570 A,387,3375.00 A,73184,,BD-20 4125,131977,5568,14 57 28.0,-21 24 55.7,0.16985,0.00082,5.888,2.012,149.1,0.0741,-1.7256,,,5.75,,,,,,6.9,,K4 V,,1457-2124 A
99,N1 Lib B,,,,,,570 B,386,3375.00 B,73182,,BD-20 4123,131976,,14 57 26.5,-12 24 41.5,0.16985,0.00082,5.888,1.937,149.4,0.0741,-1.7256,,,8.28,,,,,,9.43,,M1.0 VJ,SB1 in Mar89,1457-2124 B
100,N1 Lib C,,,,,,570 C,,,,,,,,14 57 26.5,-12 24 41.5,0.16985,0.00082,5.888,1.937,149.4,0.0741,-1.7256,,,10.05,,,,,,11.2,,,spectroscopic companion,1457-2124 C
101,N1 Lib D,,,,,,570 D,,,,,,,,14 57 15.0,-21 21 47.8,0.16985,0.00082,5.888,2.012,149.1,0.0741,-1.7256,,,,,,,,,,,T8.0 V,Brown Dwarf. Gl 570D not in CNS91,1457-2124 D
102,N1 Tel,,,,,,754,60,4505,,,,,,19 20 48.0,-45 33 27.0,0.16903,0.00155,5.916,2.945,167.3,,,,13.93,12.23,10.94,9.26,,,,13.37,,M4.5 V,,1920-4533
103,N2 Psc,,,,,BR,908,550,5763,117473,029-068,BD+01 4774,,,23 49 12.5,+02 24 04.4,0.16851,0.0014,5.934,1.388,134.2,0.0664,-0.96825,,10.45,8.98,8.03,6.95,5.827,5.282,5.043,10.11,-64,M1.0 V,,2349+0224
104,N1 Cas,Achird,Eta,24,,,34 A,123,155,3821,,BD+57 150,4614,219,00 49 06.3,+57 48 54.7,0.16838,0.00059,5.939,1.223,117.2,0.1361,-0.55965,,,3.45,,,,,,4.58,,G3 V,,0049+5748 A
105,N1 Cas B,,,,,,34 B,122,155,,,,,,00 49 06.3,+57 48 54.7,0.16838,0.00059,5.939,1.223,117.2,0.1361,-0.55965,,,7.51,,,,,,8.64,,K7.0 V,SIMBAD GJ 34C incorrect,0049+5748 B
